mean_time_inside_sectors,std_time_inside_sectors
7.0019478827361565,5.120615129721238
7.530879478827366,5.038060157600187
4.718641693811076,4.703532517718179
2.13984039087948,2.992414556308176
3.2651009771986965,3.181462856669928
3.67514657980456,6.445582573974834
2.1984951140065143,4.623834258136724
1.7673811074918564,3.1440057430109882
4.669374592833877,3.507825800963927
6.379355048859936,6.57385513305719
0.785299674267101,1.2078467966330406
2.6772638436482064,2.5783814542987766
3.205765472312702,4.753402055169667
1.1140097719869706,2.8130908297086945
1.4876872964169388,3.002517211031801
3.4068110749185694,2.4553277410762995
4.909905537459285,6.204071352699213
1.519110749185668,2.081902043331478
3.02130944625407,2.4846872732018204
1.9866644951140082,2.9365949860667158
1.2725602605863193,3.656149029401837
1.635130293159611,2.9235091162943654
2.894719869706841,2.5287620214773927
5.873570032573286,4.221700407393447
6.552882736156355,5.18140390964153
2.6570912052117275,3.56180867453979
1.845778501628664,2.922551188484097
2.3593745928338734,3.2757134200306366
4.108625407166125,5.920684446832444
0.788918566775244,1.6907318298312306
0.5964723127035831,1.1141246640967617
3.4617752442996754,2.9903837352985816
3.1597947882736155,3.5711753884339728
2.3355830618892504,2.6512588618516637
1.7036384364820851,2.2589231247663264
3.2154039087947885,3.658330683159505
0.5830358306188922,1.0209031075807116
0.16585993485342013,0.4309840681819982
4.015537459283386,3.4844080006575466
3.1481856677524425,3.9110353629798107
2.7827491856677518,3.3403665716291746
1.6326221498371338,2.25467678419839
2.013680781758959,2.704411467111048
0.9749153094462553,1.478104600854943
0.46608469055374574,0.8789386993000032
2.1446416938110735,2.305263939883832
